query_name,accepted_name,kingdom,phylum,class,order_taxon,family,genus,majorgroup,taxonomy_provenance,resolution_source
Ceratoneis closterium,Ceratoneis closterium,Chromista,Heterokontophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Ceratoneis,Bacillariophyceae,worms_full,cache
Phaeodactylum tricornutum,Phaeodactylum tricornutum,Chromista,Heterokontophyta,Bacillariophyceae,Naviculales,Phaeodactylaceae,Phaeodactylum,Bacillariophyceae,worms_full,cache
Dunaliella tertiolecta,Dunaliella tertiolecta,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Dunaliellaceae,Dunaliella,Chlorophyceae,worms_full,cache
Tetraselmis sp.,Tetraselmis sp.,Plantae,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,Chlorodendrophyceae,worms_full,cache
Hormosira banksii,Hormosira banksii,Chromista,Ochrophyta,Phaeophyceae,Fucales,Hormosiraceae,Hormosira,Phaeophyceae,worms_full,cache
Mytilus edulis,Mytilus edulis,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,Bivalvia,worms_full,cache
Saccostrea glomerata,Saccostrea glomerata,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Saccostrea,Bivalvia,worms_full,cache
Tisochrysis lutea,Tisochrysis lutea,Chromista,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysidaceae,Tisochrysis,Coccolithophyceae,worms_full,cache
Nassarius dorsatus,Nassarius dorsatus,Animalia,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius,Gastropoda,worms_full,cache
Amphibalanus amphitrite,Amphibalanus amphitrite,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Amphibalanus,Thecostraca,worms_full,cache
Acropora tenuis,Acropora tenuis,Animalia,Cnidaria,Hexacorallia,Scleractinia,Acroporidae,Acropora,Hexacorallia,worms_full,cache
Ceramium tenuicorne,Ceramium tenuicorne,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Ceramium,Florideophyceae,worms_full,cache
Crassostrea gigas,Magallana gigas,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Crassostrea,Bivalvia,worms_full,cache
Acartia tonsa,Acartia (Acanthacartia) tonsa,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Copepoda,worms_full,cache
Strongylocentrotus purpuratus,Strongylocentrotus purpuratus,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,Echinoidea,worms_full,cache
Dendraster excentricus,Dendraster excentricus,Animalia,Echinodermata,Echinoidea,Echinolampadacea,Dendrasteridae,Dendraster,Echinoidea,worms_full,cache
Americamysis bahia,Americamysis bahia,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Americamysis,Malacostraca,worms_full,cache
Cyprinodon variegatus,Cyprinodon variegatus,Animalia,Chordata,Teleostei,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Teleostei,worms_full,cache
Lymnaea stagnalis,Lymnaea stagnalis,Animalia,Mollusca,Gastropoda,NA,Lymnaeidae,Lymnaea,Gastropoda,worms_full,cache
Ceriodaphnia dubia,Ceriodaphnia dubia,Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Ceriodaphnia,Branchiopoda,worms_full,cache
Alona affinis,Alona affinis,Animalia,Arthropoda,Branchiopoda,Anomopoda,Chydoridae,Alona,Branchiopoda,worms_full,cache
Ceriodaphnia quadrangula,Ceriodaphnia quadrangula,Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Ceriodaphnia,Branchiopoda,worms_full,cache
Peracantha truncata,Peracantha truncata,Animalia,Arthropoda,Branchiopoda,Anomopoda,Chydoridae,Peracantha,Branchiopoda,worms_full,cache
Daphnia magna,Daphnia magna,Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Daphnia,Branchiopoda,worms_full,cache
Ceriodaphnia pulchella,Ceriodaphnia pulchella,Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Ceriodaphnia,Branchiopoda,worms_full,cache
Simocephalus vetulus,Simocephalus vetulus,Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Simocephalus,Branchiopoda,worms_full,cache
Simocephalus serrulatus,Simocephalus serrulatus,Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Simocephalus,Branchiopoda,worms_full,cache
Pseudokirchneriella subcapitata,Raphidocelis subcapitata,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Pseudokirchneriella,Chlorophyceae,worms_full,cache
Daphnia longispina,Daphnia longispina,Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Daphnia,Branchiopoda,worms_full,cache
Salmo gairdneri,Oncorhynchus mykiss,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salmo,Teleostei,worms_full,cache
Pimephales promelas,Pimephales promelas,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Pimephales,Teleostei,worms_full,cache
Chironomus tentans,Chironomus tentans,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Insecta,gbif_full,cache
Lemna aequinoctialis,Lemna aequinoctialis,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Liliopsida,gbif_full,cache
Pseudokirchneriella sp.,Pseudokirchneriella sp.,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Pseudokirchneriella,Chlorophyceae,worms_full,cache
Lemna minor,Lemna minor,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Araceae,Lemna,Magnoliopsida,worms_full,cache
Hydra viridissima,Hydra viridissima,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Hydridae,Hydra,Hydrozoa,worms_full,cache
Pediastrum duplex,Pediastrum duplex,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Pediastrum,Chlorophyceae,worms_full,cache
Ankistrodesmus falcatus,Ankistrodesmus falcatus,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Ankistrodesmus,Chlorophyceae,worms_full,cache
Chlamydomonas sp,Chlamydomonas sp,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chlamydomonas,Chlorophyceae,worms_full,cache
Coelastrum microporum,Coelastrum microporum,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,Chlorophyceae,worms_full,cache
Brachionus calyciflorus,Brachionus calyciflorus,Animalia,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,Eurotatoria,worms_full,cache
Skeletonema costatum,Skeletonema costatum,Chromista,Heterokontophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,Bacillariophyceae,worms_full,cache
Champia parvula,Champia parvula,Plantae,Rhodophyta,Florideophyceae,Rhodymeniales,Champiaceae,Champia,Florideophyceae,worms_full,cache
Neanthes arenaceodentata,Neanthes arenaceodentata,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Neanthes,Polychaeta,worms_full,cache
Crassostrea sp.,Crassostrea sp.,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Crassostrea,Bivalvia,worms_full,cache
Mytilus sp.,Mytilus sp.,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,Bivalvia,worms_full,cache
Aiptasia pulchella,Exaiptasia diaphana,Animalia,Cnidaria,Hexacorallia,Actiniaria,Aiptasiidae,Aiptasia,Hexacorallia,worms_full,cache
Tisbe battagliai,Tisbe battagliai,Animalia,Arthropoda,Copepoda,Harpacticoida,Tisbidae,Tisbe,Copepoda,worms_full,cache
Paracentrotus lividus,Paracentrotus lividus,Animalia,Echinodermata,Echinoidea,Camarodonta,Parechinidae,Paracentrotus,Echinoidea,worms_full,cache
Atherinops affinis,Atherinops affinis,Animalia,Chordata,Teleostei,Atheriniformes,Atherinopsidae,Atherinops,Teleostei,worms_full,cache
Minutocellus polymorphus,Bellerochea polymorpha,Chromista,Heterokontophyta,Bacillariophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Bacillariophyceae,worms_full,worms_fresh
Ecklonia radiata,Ecklonia radiata,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Ecklonia,Phaeophyceae,worms_full,worms_fresh
Heliocardis tuberculata,Heliocardis tuberculata,NA,NA,NA,NA,NA,NA,NA,source_native_fallback,unresolved
Saccrostrea echinata,Saccrostrea echinata,NA,NA,NA,NA,NA,NA,NA,source_native_fallback,unresolved
Coenobita variabilis,Coenobita variabilis,Animalia,Arthropoda,Malacostraca,Decapoda,Coenobitidae,Coenobita,Malacostraca,worms_full,worms_fresh
Exaiptasia pallida,Exaiptasia diaphana,Animalia,Cnidaria,Hexacorallia,Actiniaria,Aiptasiidae,Exaiptasia,Hexacorallia,worms_full,worms_fresh
Tisochrysis lutea (Isochrysis galbana),Tisochrysis lutea (Isochrysis galbana),NA,NA,NA,NA,NA,NA,NA,source_native_fallback,unresolved
Navicula pelliculosa,Navicula pelliculosa,NA,NA,NA,NA,NA,NA,NA,gbif_full,gbif_fresh
Scenedesmus accuminatus,Scenedesmus accuminatus,NA,NA,NA,NA,NA,NA,NA,source_native_fallback,unresolved
Desmodesmus spinosus,Desmodesmus spinosus,NA,NA,NA,NA,NA,NA,NA,gbif_full,gbif_fresh
Spermatozopsis exultans,Spermatozopsis exultans,NA,NA,NA,NA,NA,NA,NA,gbif_full,gbif_fresh
Melanotaenia splendida splendida,Melanotaenia splendida splendida,NA,NA,NA,NA,NA,NA,NA,source_native_fallback,unresolved
Chlorella sp. (Swedish Isolate),Chlorella sp. (Swedish Isolate),NA,NA,NA,NA,NA,NA,NA,source_native_fallback,unresolved
Desmodesmus sp,Desmodesmus spinosus,NA,NA,NA,NA,NA,NA,NA,gbif_full,gbif_fresh
Chlorella sp (Kakadu NT isolate),Chlorella sp (Kakadu NT isolate),NA,NA,NA,NA,NA,NA,NA,source_native_fallback,unresolved
Nitzschia closterium,Nitzschia closterium,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Bacillariophyceae,worms_full,worms_fresh
Chaetoceros curvesitus,Chaetoceros curvesitus,NA,NA,NA,NA,NA,NA,NA,source_native_fallback,unresolved
Platymonus subcordiforus,Platymonus subcordiforus,NA,NA,NA,NA,NA,NA,NA,source_native_fallback,unresolved
Idotea baltica,Idotea balthica,Animalia,Arthropoda,Malacostraca,Isopoda,Idoteidae,Idotea,Malacostraca,worms_full,worms_fresh
Cyprinodon variegates,Cyprinodon variegates,NA,NA,NA,NA,NA,NA,NA,source_native_fallback,unresolved
Dunalliella tertiolecta,Dunalliella tertiolecta,NA,NA,NA,NA,NA,NA,NA,source_native_fallback,unresolved
Strongylocentrus pupuratus,Strongylocentrus pupuratus,NA,NA,NA,NA,NA,NA,NA,source_native_fallback,unresolved
Heliocidarus tuberculata,Heliocidarus tuberculata,NA,NA,NA,NA,NA,NA,NA,source_native_fallback,unresolved
Amercamysis bahia,Amercamysis bahia,NA,NA,NA,NA,NA,NA,NA,source_native_fallback,unresolved
Mytilus gallprovincialis,Mytilus gallprovincialis,NA,NA,NA,NA,NA,NA,NA,source_native_fallback,unresolved
Mytilus trossolus,Mytilus trossolus,NA,NA,NA,NA,NA,NA,NA,source_native_fallback,unresolved
Neanthes arenoceodantata,Neanthes arenoceodantata,NA,NA,NA,NA,NA,NA,NA,source_native_fallback,unresolved
