casnumber,chemicalname,proposed_parent_cas_dashed,proposed_parent_casnumber,proposed_parent_name,proposed_match_rationale,confidence,notes
50635,"Chloroquine bis(phosphate);Phosphoric acid--N~4~-(7-chloroquinolin-4-yl)-N~1~,N~1~-diethylpentane-1,4-diamine (2/1)",54-05-1,54051,Chloroquine,phosphate salt of organic base -> free base (antimalarial),high,
55481,"Atropine sulfate anhydrous (2:1) salt;Sulfuric acid--(1R,3r,5S)-8-methyl-8-azabicyclo[3.2.1]octan-3-yl 3-hydroxy-2-phenylpropanoate (1/2)",51-55-8,51558,Atropine,sulfate salt of organic base -> free base (alkaloid),high,
55550,N-Methyl-p-aminophenol sulfate;Sulfuric acid--4-(methylamino)phenol (1/2),150-75-4,150754,4-(Methylamino)phenol,sulfate salt of organic base -> free base (photographic developer Metol),high,
55867,Nitrogen mustard hydrochloride;2-Chloro-N-(2-chloroethyl)-N-methylethan-1-amine--hydrogen chloride (1/1),51-75-2,51752,Mechlorethamine (nitrogen mustard),HCl salt of organic base -> free base,high,
55970,"N1,N1,N1,N6,N6,N6-Hexamethyl-1,6-hexanediaminium bromide (1:2)",55-97-0,55970,Hexamethonium bromide,"direct - no simpler parent: bis-quaternary ammonium salt, cation permanently charged",high,
56348,"Tetraethylammonium chloride;N,N,N-Triethylethanaminium chloride",56-34-8,56348,Tetraethylammonium chloride,"direct - no simpler parent: quaternary ammonium salt, cation is the active moiety",high,
56371,"Benzyltriethylammonium chloride;N-Benzyl-N,N-diethylethanaminium chloride",56-37-1,56371,Benzyltriethylammonium chloride,direct - no simpler parent: quaternary ammonium salt,high,
56575,4-Nitroquinoline 1-oxide,56-57-5,56575,4-Nitroquinoline 1-oxide,direct - no simpler parent: N-oxide is integral to the registered mutagen test chemical,high,
56939,"Benzyltrimethylammonium chloride;N,N,N-Trimethyl(phenyl)methanaminium chloride",56-93-9,56939,Benzyltrimethylammonium chloride,direct - no simpler parent: quaternary ammonium salt,high,
57090,"Hexadecyltrimethylammonium bromide;N,N,N-Trimethylhexadecan-1-aminium bromide",57-09-0,57090,Hexadecyltrimethylammonium bromide (CTAB),direct - no simpler parent: quaternary ammonium salt,high,
58935,"6-Chloro-3,4-dihydro-2H-1,2,4-benzothiadiazine-7-sulfonamide 1,1-dioxide",58-93-5,58935,Hydrochlorothiazide,direct - no simpler parent: registered pharmaceutical (diuretic) active ingredient,high,
59972,"Tolazoline hydrochloride;2-Benzyl-4,5-dihydro-1H-imidazole--hydrogen chloride (1/1)",59-98-3,59983,Tolazoline,HCl salt of organic base -> free base,high,
60139,Amphetamine sulfate;Sulfuric acid--1-phenylpropan-2-amine (1/2),300-62-9,300629,Amphetamine,sulfate salt of organic base -> free base,high,
61734,"Methylene blue;3,7-Bis(dimethylamino)phenothiazin-5-ium chloride",61-73-4,61734,Methylene blue,"direct - no simpler parent: phenothiazinium chloride dye, cation is a permanently charged chromophore (consistent with Malachite green oxalate precedent in lookup)",high,
62737,"Dichlorvos;2,2-Dichloroethenyl dimethyl phosphate",62-73-7,62737,Dichlorvos,direct - no simpler parent: registered organophosphate insecticide active ingredient,high,Reused from Stage 2b pilot (scripts/stage2b-pilot-results.csv) - same CAS appeared in both samples.
64722,"Chlortetracycline hydrochloride;(4S,4aS,5aS,6S,12aS)-7-Chloro-4-(dimethylamino)-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-1,4,4a,5,5a,6,11,12a-octahydrotetracene-2-carboxamide--hydrogen chloride (1/1)",57-62-5,57625,Chlortetracycline,HCl salt of organic base -> free base (tetracycline antibiotic),high,
64755,"Tetracycline hydrochloride;(4S,4aS,5aS,6S,12aS)-4-(Dimethylamino)-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-1,4,4a,5,5a,6,11,12a-octahydrotetracene-2-carboxamide--hydrogen chloride (1/1)",60-54-8,60548,Tetracycline,HCl salt of organic base -> free base (tetracycline antibiotic),high,
65305,Nicotine sulfate;Sulfuric acid--3-[(2S)-1-methylpyrrolidin-2-yl]pyridine (1/2),54-11-5,54115,Nicotine,sulfate salt of organic base -> free base (alkaloid),high,
67038,"3-[(4-Amino-2-methyl-5-pyrimidinyl)methyl]-5-(2-hydroxyethyl)-4-methylthiazolium chloride (1:1), hydrochloride (1:1)",67-03-8,67038,Thiamine chloride hydrochloride (Vitamin B1),direct - no simpler parent: quaternary thiazolium core cannot be neutralized to a free base; registered as this salt form,medium,"Compound has a second, separable HCl on the exocyclic pyrimidinylamine in addition to the intrinsic thiazolium chloride. A stricter reading could strip that second HCl to a ""monohydrochloride"" form, but that species has no independent common reference CAS in ecotox use, so kept as itself. Flag for reviewer."
67481,"Choline chloride;2-Hydroxy-N,N,N-trimethylethan-1-aminium chloride",67-48-1,67481,Choline chloride,direct - no simpler parent: quaternary ammonium salt (choline cation),high,
68042,"Trisodium citrate;Trisodium 2-hydroxypropane-1,2,3-tricarboxylate",68-04-2,68042,Trisodium citrate,"direct - no simpler parent: sodium salt of citric acid, common buffering salt (consistent with Sodium decanoate/Sodium propionate precedent in lookup)",high,
71910,"N,N,N-Triethylethanaminium bromide",71-91-0,71910,Tetraethylammonium bromide,direct - no simpler parent: quaternary ammonium salt,high,
74839,Methyl bromide;Bromomethane,74-83-9,74839,Methyl bromide,"direct - no simpler parent: simple organohalide, registered fumigant",high,
74884,Methyl iodide;Iodomethane,74-88-4,74884,Methyl iodide,direct - no simpler parent: simple organohalide,high,
75014,Vinyl chloride;Chloroethene,75-01-4,75014,Vinyl chloride,direct - no simpler parent: simple organohalide monomer,high,
75183,Dimethyl sulfide;(Methylsulfanyl)methane,75-18-3,75183,Dimethyl sulfide,direct - no simpler parent: simple organosulfide,high,
75218,Ethylene oxide;Oxirane,75-21-8,75218,Ethylene oxide,direct - no simpler parent: simple epoxide,high,
75365,Acetyl chloride;Acetyl chloride,75-36-5,75365,Acetyl chloride,"direct - no simpler parent: acid chloride, distinct reactive chemical tested/registered in its own right",high,
75569,"1,2-Propylene oxide;2-Methyloxirane",75-56-9,75569,"1,2-Propylene oxide",direct - no simpler parent: simple epoxide,high,
75570,"Tetramethylammonium chloride;N,N,N-Trimethylmethanaminium chloride",75-57-0,75570,Tetramethylammonium chloride,direct - no simpler parent: quaternary ammonium salt,high,
76493,"(1R,2S,4R)-rel-1,7,7-Trimethylbicyclo[2.2.1]heptan-2-ol acetate",76-49-3,76493,Isobornyl acetate,"direct - no simpler parent: simple ester of a terpene alcohol, distinct fragrance/industrial chemical (cf. Ethyl chloroacetate precedent: simple esters not collapsed to acetic acid)",high,
76879,Triphenyltin hydroxide;Triphenylstannanol,76-87-9,76879,Triphenyltin hydroxide (Fentin hydroxide),"direct - no simpler parent: registered triphenyltin fungicide active ingredient, reference congener for the triphenyltin moiety",high,
77781,Dimethyl sulfate;Dimethyl sulfate,77-78-1,77781,Dimethyl sulfate,direct - no simpler parent: distinct industrial methylating agent,high,
77907,"Acetyl tributyl citrate;Tributyl 2-(acetyloxy)propane-1,2,3-tricarboxylate",77-90-7,77907,Acetyl tributyl citrate,"direct - no simpler parent: citrate ester plasticizer, distinct industrial chemical (not a pesticide active ingredient)",high,
78320,Tris(4-methylphenyl) phosphate;Tris(4-methylphenyl) phosphate,78-32-0,78320,Tris(4-methylphenyl) phosphate,"direct - no simpler parent: phosphate ester flame retardant/plasticizer (cf. ""Phosphoric acid, Tripropyl ester"" precedent in lookup: simple phosphate esters not collapsed to phosphoric acid)",high,
78400,Triethyl phosphate;Triethyl phosphate,78-40-0,78400,Triethyl phosphate,"direct - no simpler parent: phosphate ester, distinct industrial chemical",high,
78422,Tris(2-ethylhexyl) phosphate;Tris(2-ethylhexyl) phosphate,78-42-2,78422,Tris(2-ethylhexyl) phosphate,"direct - no simpler parent: phosphate ester, distinct industrial chemical",high,
78513,Tris(2-butoxyethyl) phosphate;Tris(2-butoxyethyl) phosphate,78-51-3,78513,Tris(2-butoxyethyl) phosphate,"direct - no simpler parent: phosphate ester, distinct industrial chemical",high,
79209,Methyl acetate;Methyl acetate,79-20-9,79209,Methyl acetate,"direct - no simpler parent: simple ester, distinct industrial solvent",high,
80262,"alpha,alpha,4-Trimethyl-3-cyclohexene-1-methanol 1-acetate",80-26-2,80262,Terpinyl acetate,"direct - no simpler parent: terpene alcohol acetate ester, fragrance chemical",high,
81889,"Rhodamine B;9-(2-Carboxyphenyl)-3,6-bis(diethylamino)xanthen-10-ium chloride",81-88-9,81889,Rhodamine B,"direct - no simpler parent: xanthenium chloride dye, cation is a permanently charged chromophore (cf. Malachite green oxalate precedent)",high,
86408,"3,6-Diamino-10-methylacridinium chloride;3,6-Diamino-10-methylacridin-10-ium chloride",86-40-8,86408,"3,6-Diamino-10-methylacridinium chloride","direct - no simpler parent: acridinium chloride dye, cation permanently charged",high,
87912,"Diethyl L-tartrate;Diethyl (2R,3R)-2,3-dihydroxybutanedioate",87-91-2,87912,Diethyl L-tartrate,"direct - no simpler parent: ester of tartaric acid, distinct industrial/food chemical",high,
93787,"2,4,5-T-isopropyl;Propan-2-yl (2,4,5-trichlorophenoxy)acetate",93-76-5,93765,"2,4,5-T","isopropyl ester -> 2,4,5-T acid parent (phenoxy herbicide ester convention)",high,
93798,"Butyl (2,4,5-trichlorophenoxy)acetate;Butyl (2,4,5-trichlorophenoxy)acetate",93-76-5,93765,"2,4,5-T","butyl ester -> 2,4,5-T acid parent",high,
94111,"2,4-D isopropyl ester;Propan-2-yl (2,4-dichlorophenoxy)acetate",94-75-7,94757,"2,4-D","isopropyl ester -> 2,4-D acid parent",high,
94804,"2,4-D 1-butyl ester;Butyl (2,4-dichlorophenoxy)acetate",94-75-7,94757,"2,4-D","butyl ester -> 2,4-D acid parent",high,Reused from Stage 2b pilot - same CAS appeared in both samples.
96093,Styrene oxide;2-Phenyloxirane,96-09-3,96093,Styrene oxide,direct - no simpler parent: simple epoxide,high,
98044,"Phenyltrimethylammonium iodide;N,N,N-Trimethylanilinium iodide",98-04-4,98044,Phenyltrimethylammonium iodide,direct - no simpler parent: quaternary ammonium salt,high,
98099,Benzenesulfonyl chloride;Benzenesulfonyl chloride,98-09-9,98099,Benzenesulfonyl chloride,"direct - no simpler parent: sulfonyl chloride, reactive industrial chemical",high,
98599,p-Toluenesulfonyl chloride;4-Methylbenzene-1-sulfonyl chloride,98-59-9,98599,p-Toluenesulfonyl chloride,"direct - no simpler parent: sulfonyl chloride, reactive industrial chemical",high,
98873,Benzal chloride;(Dichloromethyl)benzene,98-87-3,98873,Benzal chloride,direct - no simpler parent: simple organohalide,high,
98884,Benzoyl chloride;Benzoyl chloride,98-88-4,98884,Benzoyl chloride,"direct - no simpler parent: acid chloride, distinct reactive chemical",high,
100141,4-Nitrobenzyl chloride;1-(Chloromethyl)-4-nitrobenzene,100-14-1,100141,4-Nitrobenzyl chloride,direct - no simpler parent: simple organohalide,high,
100447,Benzyl chloride;(Chloromethyl)benzene,100-44-7,100447,Benzyl chloride,direct - no simpler parent: simple organohalide,high,
101848,"Diphenyl oxide;1,1'-Oxydibenzene",101-84-8,101848,Diphenyl oxide,direct - no simpler parent: simple aromatic ether,high,
103548,3-Phenylprop-2-en-1-yl acetate;3-Phenylprop-2-en-1-yl acetate,103-54-8,103548,Cinnamyl acetate,"direct - no simpler parent: simple ester, fragrance chemical",high,
106876,4-Vinyl-1-cyclohexene dioxide;3-(Oxiran-2-yl)-7-oxabicyclo[4.1.0]heptane,106-87-6,106876,4-Vinyl-1-cyclohexene dioxide,"direct - no simpler parent: diepoxide, distinct industrial chemical (""dioxide"" here is a diepoxide, not a metal oxide)",high,
106956,Allyl bromide;3-Bromoprop-1-ene,106-95-6,106956,Allyl bromide,direct - no simpler parent: simple organohalide,high,
107471,tert-Butyl sulfide;2-(tert-Butylsulfanyl)-2-methylpropane,107-47-1,107471,tert-Butyl sulfide,direct - no simpler parent: simple organosulfide,high,
107642,"Dimethyldioctadecylammonium chloride;N,N-Dimethyl-N-octadecyloctadecan-1-aminium chloride",107-64-2,107642,Dimethyldioctadecylammonium chloride,direct - no simpler parent: quaternary ammonium salt,high,
107664,Dibutyl hydrogen phosphate,107-66-4,107664,Dibutyl hydrogen phosphate,"direct - no simpler parent: phosphate diester (cf. ""Phosphoric acid, Tripropyl ester"" precedent)",high,
108054,Vinyl acetate;Ethenyl acetate,108-05-4,108054,Vinyl acetate,direct - no simpler parent: simple ester monomer,high,
108214,Isopropyl acetate;Propan-2-yl acetate,108-21-4,108214,Isopropyl acetate,direct - no simpler parent: simple ester,high,
108656,1-Methoxy-2-propyl acetate;1-Methoxypropan-2-yl acetate,108-65-6,108656,1-Methoxy-2-propyl acetate,direct - no simpler parent: simple ester (glycol ether acetate solvent),high,
108849,Methyl amyl acetate,108-84-9,108849,Methyl amyl acetate,direct - no simpler parent: simple ester solvent,high,
109604,Propyl acetate;Propyl acetate,109-60-4,109604,Propyl acetate,direct - no simpler parent: simple ester,high,
110190,Isobutyl acetate;2-Methylpropyl acetate,110-19-0,110190,Isobutyl acetate,direct - no simpler parent: simple ester,high,
110496,2-Methoxyethyl acetate;2-Methoxyethyl acetate,110-49-6,110496,2-Methoxyethyl acetate,direct - no simpler parent: simple ester (glycol ether acetate solvent),high,
111159,2-Ethoxyethyl acetate;2-Ethoxyethyl acetate,111-15-9,111159,2-Ethoxyethyl acetate,direct - no simpler parent: simple ester (glycol ether acetate solvent),high,
111171,"Bis(2-carboxyethyl) sulfide;3,3'-Sulfanediyldipropanoic acid",111-17-1,111171,Bis(2-carboxyethyl) sulfide,direct - no simpler parent: distinct organosulfur diacid,high,
111477,Propyl sulfide;1-(Propylsulfanyl)propane,111-47-7,111477,Propyl sulfide,direct - no simpler parent: simple organosulfide,high,
112005,"Dodecyltrimethylammonium chloride;N,N,N-Trimethyldodecan-1-aminium chloride",112-00-5,112005,Dodecyltrimethylammonium chloride,direct - no simpler parent: quaternary ammonium salt,high,
112027,"Hexadecyl trimethyl ammonium chloride;N,N,N-Trimethylhexadecan-1-aminium chloride",112-02-7,112027,Hexadecyltrimethylammonium chloride (cetrimonium chloride),direct - no simpler parent: quaternary ammonium salt,high,
112038,"N,N,N-Trimethyloctadecan-1-aminium chloride",112-03-8,112038,"N,N,N-Trimethyloctadecan-1-aminium chloride (stearalkonium chloride)",direct - no simpler parent: quaternary ammonium salt,high,
112130,Decanoyl chloride,112-13-0,112130,Decanoyl chloride,direct - no simpler parent: acid chloride,high,
115311,"Thanite;(1R,2R,4R)-1,7,7-Trimethylbicyclo[2.2.1]heptan-2-yl (thiocyanato)acetate",115-31-1,115311,Thanite (isobornyl thiocyanoacetate),"direct - no simpler parent: registered insecticide active ingredient is itself this ester (not a multi-formulation regulatory ester-collapse case like 2,4-D)",high,
115866,Triphenyl phosphate;Triphenyl phosphate,115-86-6,115866,Triphenyl phosphate,"direct - no simpler parent: phosphate ester, distinct industrial chemical",high,
115968,Tris(2-chloroethyl) phosphate;Tris(2-chloroethyl) phosphate,115-96-8,115968,Tris(2-chloroethyl) phosphate,direct - no simpler parent: phosphate ester flame retardant,high,
121540,"Benzethonium chloride;N-Benzyl-N,N-dimethyl-2-{2-[4-(2,4,4-trimethylpentan-2-yl)phenoxy]ethoxy}ethan-1-aminium chloride",121-54-0,121540,Benzethonium chloride,direct - no simpler parent: quaternary ammonium salt (antiseptic),high,
122101,Dimethyl 3-hydroxyglutaconate dimethyl phosphate;Dimethyl (2Z)-3-[(dimethoxyphosphoryl)oxy]pent-2-enedioate,122-10-1,122101,Dimethyl 3-hydroxyglutaconate dimethyl phosphate,"direct - no simpler parent: organophosphate ester compound, distinct registered entity",medium,Could not independently verify a more specific common name/registration for this exact organophosphate triester structure; treated as its own parent absent a simpler-parent candidate.
122792,Phenyl acetate;Phenyl acetate,122-79-2,122792,Phenyl acetate,direct - no simpler parent: simple ester,high,
123035,Cetylpyridinium chloride;1-Hexadecylpyridin-1-ium chloride,123-03-5,123035,Cetylpyridinium chloride,direct - no simpler parent: quaternary pyridinium salt (antiseptic),high,
123864,Butyl acetate;Butyl acetate,123-86-4,123864,Butyl acetate,direct - no simpler parent: simple ester,high,
123922,3-Methylbutyl acetate;3-Methylbutyl acetate,123-92-2,123922,Isoamyl acetate,direct - no simpler parent: simple ester,high,
124038,"Ethylhexadecyldimethylammonium bromide;N-Ethyl-N,N-dimethylhexadecan-1-aminium bromide",124-03-8,124038,Ethylhexadecyldimethylammonium bromide,direct - no simpler parent: quaternary ammonium salt,high,
124389,Carbon dioxide,124-38-9,124389,Carbon dioxide,"direct - no simpler parent: simple inorganic gas, conventionally its own analyte",high,
124630,Methanesulfonyl chloride;Methanesulfonyl chloride,124-63-0,124630,Methanesulfonyl chloride,direct - no simpler parent: sulfonyl chloride,high,
126727,"Tris(2,3-dibromopropyl) phosphate;Tris(2,3-dibromopropyl) phosphate",126-72-7,126727,"Tris(2,3-dibromopropyl) phosphate",direct - no simpler parent: phosphate ester flame retardant,high,
126738,Tributyl phosphate;Tributyl phosphate,126-73-8,126738,Tributyl phosphate,direct - no simpler parent: phosphate ester,high,
127082,Potassium acetate;Potassium acetate,127-08-2,127082,Potassium acetate,direct - no simpler parent: common buffering salt (cf. Sodium decanoate/propionate precedent),high,
127093,Sodium acetate;Sodium acetate,127-09-3,127093,Sodium acetate,direct - no simpler parent: common buffering salt,high,
130610,Thioridazine hydrochloride;10-[2-(1-Methylpiperidin-2-yl)ethyl]-2-(methylsulfanyl)-10H-phenothiazine--hydrogen chloride (1/1),50-52-2,50522,Thioridazine,HCl salt of organic base -> free base (antipsychotic),high,
134305,"8-Hydroxyquinoline citrate;2-Hydroxypropane-1,2,3-tricarboxylic acid--quinolin-8-ol (1/1)",148-24-3,148243,8-Hydroxyquinoline,citrate salt of organic base -> free base,high,
134316,8-Hydroxyquinoline sulfate;Sulfuric acid--quinolin-8-ol (1/2),148-24-3,148243,8-Hydroxyquinoline,sulfate salt of organic base -> free base,high,
136403,"Phenazopyridine hydrochloride;3-(Phenyldiazenyl)pyridine-2,6-diamine--hydrogen chloride (1/1)",94-78-0,94780,Phenazopyridine,HCl salt of organic base -> free base,high,
137166,Sodium [dodecanoyl(methyl)amino]acetate,137-16-6,137166,Sodium [dodecanoyl(methyl)amino]acetate,direct - no simpler parent: sodium salt of an N-acyl amino acid surfactant (cf. sodium organic-acid-salt precedent),high,
137882,Amprolium hydrochloride;1-[(4-Amino-2-propylpyrimidin-5-yl)methyl]-2-methylpyridin-1-ium chloride--hydrogen chloride (1/1/1),137-88-2,137882,Amprolium hydrochloride,direct - no simpler parent: quaternary pyridinium core is intrinsic to the registered veterinary drug (Amprolium HCl is itself the standard reference form),high,
139071,"Benzyldimethyldodecylammonium chloride;N-Benzyl-N,N-dimethyldodecan-1-aminium chloride",139-07-1,139071,Benzyldimethyldodecylammonium chloride,direct - no simpler parent: quaternary ammonium salt,high,
139082,"N,N-Dimethyl-N-tetradecyl-benzenemethanaminium chloride (1:1)",139-08-2,139082,"N,N-Dimethyl-N-tetradecylbenzenemethanaminium chloride",direct - no simpler parent: quaternary ammonium salt,high,
140114,Benzyl acetate;Benzyl acetate,140-11-4,140114,Benzyl acetate,direct - no simpler parent: simple ester,high,
140727,Cetylpyridinium bromide;1-Hexadecylpyridin-1-ium bromide,140-72-7,140727,Cetylpyridinium bromide,direct - no simpler parent: quaternary pyridinium salt,high,
141537,Sodium formate;Sodium formate,141-53-7,141537,Sodium formate,direct - no simpler parent: common buffering salt,high,
141662,Dicrotophos;(2E)-4-(Dimethylamino)-4-oxobut-2-en-2-yl dimethyl phosphate,141-66-2,141662,Dicrotophos,direct - no simpler parent: registered organophosphate insecticide active ingredient,high,
141786,Ethyl acetate;Ethyl acetate,141-78-6,141786,Ethyl acetate,direct - no simpler parent: simple ester,high,
142314,Octyl sodium sulfate,142-31-4,142314,Octyl sodium sulfate,"direct - no simpler parent: alkyl sulfate ester surfactant, sodium is just the counterion",high,
142870,Sodium decyl sulfate;Sodium decyl sulfate,142-87-0,142870,Sodium decyl sulfate,direct - no simpler parent: alkyl sulfate ester surfactant,high,
142927,Hexyl acetate;Hexyl acetate,142-92-7,142927,Hexyl acetate,direct - no simpler parent: simple ester,high,
144558,Sodium bicarbonate;Sodium hydrogen carbonate,144-55-8,144558,Sodium bicarbonate,direct - no simpler parent: common buffering/alkalinity salt,high,
147240,"Diphenhydramine hydrochloride;2-(Diphenylmethoxy)-N,N-dimethylethan-1-amine--hydrogen chloride (1/1)",58-73-1,58731,Diphenhydramine,HCl salt of organic base -> free base,high,
151213,Sodium dodecyl sulfate;Sodium dodecyl sulfate,151-21-3,151213,Sodium dodecyl sulfate,direct - no simpler parent: alkyl sulfate ester surfactant,high,
151417,Lauryl sulfate;Dodecyl hydrogen sulfate,151-41-7,151417,Lauryl sulfate (dodecyl hydrogen sulfate),"direct - no simpler parent: alkyl sulfate ester, acid form is itself the registered substance",high,
151633,2-Aminoacetonitrile sulfate (1:1),540-61-4,540614,2-Aminoacetonitrile,sulfate salt of organic base -> free base,high,
